id	name.zh-CN	name.en
14684	山东中医药大学	Shandong University of Traditional Chinese Medicine
6304	山西大学	Shanxi University
26348	山西工程科技职业大学	Shanxi Vocational University of Engineering Science and Technology
26287	山西工商学院	Shanxi Technology and Business University
9226	山西师范大学	Shanxi Normal University
7643	陕西科技大学	Shaanxi University of Science and Technology
8820	陕西理工大学	Shaanxi University of Technology
6751	陕西师范大学	Shaanxi Normal University
1676	汕头大学	Shantou University
7253	商洛学院	Shangluo University
25869	商丘工学院	Shangqiu Institute of Technology
6208	商丘师范学院	Shangqiu Normal University
25873	商丘学院	Shangqiu University
9252	商丘学院应用科技学院	Shangqiu University Applied Science and Technology College
1672	上海大学	Shanghai University
4038	上海第二工业大学	Shanghai Polytechnic University
25778	上海电力大学	Shanghai University of Electric Power
25782	上海对外经贸大学	Shanghai University of International Business and Economics
4171	上海工程技术大学	Shanghai University of Engineering Science
1665	上海海事大学	Shanghai Maritime University
3192	上海海洋大学	Shanghai Ocean University
4007	上海建桥学院	Shanghai Jian Qiao University
1663	上海交通大学	Shanghai Jiao Tong University
7666	上海科技大学	ShanghaiTech University
2509	上海理工大学	University of Shanghai for Science and Technology
26269	上海立信会计金融学院	Shanghai Lixin University of Accounting and Finance
10311	上海纽约大学	New York University Shanghai
26378	上海杉达学院	Shanghai Sanda University
4006	上海商学院	Shanghai Business School
1666	上海师范大学	Shanghai Normal University
10923	上海外国语大学	Shanghai International Studies University
11417	上海应用技术大学	Shanghai Institute of Technology
26293	上海政法学院	Shanghai University of Political Science and Law
13704	上饶师范学院	Shangrao Normal University
2781	韶关学院	Shaoguan University
3194	邵阳学院	Shaoyang University
4030	绍兴大学	Shaoxing University
4576	绍兴理工学院	Shaoxing Institute of Technology
10158	深圳北理莫斯科大学	Shenzhen MSU-BIT University
1679	深圳大学	Shenzhen University
4377	深圳技师学院	Shenzhen Institute of Technology
10908	深圳技术大学	Shenzhen Technology University
26739	深圳职业技术大学	Shenzhen Polytechnic University
8727	沈阳城市学院	Shenyang City University
2878	沈阳大学	Shenyang University
4605	沈阳工程学院	Shenyang Institute of Engineering
2873	沈阳工业大学	Shenyang University of Technology
6770	沈阳航空航天大学	Shenyang Aerospace University
4624	沈阳化工大学	Shenyang University of Chemical Technology
2875	沈阳建筑大学	Shenyang Jianzhu University
3998	沈阳理工大学	Shenyang Ligong University
2814	沈阳农业大学	Shenyang Agricultural University
2802	沈阳师范大学	Shenyang Normal University
6093	石河子大学	Shihezi University
9186	石家庄铁道大学	Shijiazhuang Tiedao University
3123	首都经济贸易大学	Capital University of Economics and Business
3286	首都师范大学	Capital Normal University
26738	顺德职业技术大学	Shunde Polytechnic University
9150	四川城市职业学院	Urban Vocational College of Sichuan
1709	四川大学	Sichuan University
9192	四川大学锦江学院	Sichuan University Jinjiang College
9146	四川工商学院	Sichuan Technology and Business University
8689	四川工业科技学院	Sichuan Institute of Industrial Technology
9149	四川航天职业技术学院	SiChuan Aerospace Vocational College
6227	四川建筑职业技术学院	Sichuan College of Architectural Technology
6351	四川交通职业技术学院	Sichuan Vocational and Technical College of Communications
9152	四川旅游学院	Sichuan Tourism University
8665	四川民族学院	Sichuan Minzu College
3352	四川农业大学	Sichuan Agricultural University
6226	四川轻化工大学	Sichuan University of Science and Engineering
3341	四川师范大学	Sichuan Normal University
6755	四川托普信息技术职业学院	Sichuan TOP IT Vocational Institute
26379	四川现代职业学院	Sichuan Modern Vocational College
11479	四川信息职业技术学院	Sichuan Vocational College of Information Technology
11345	苏州大学	Soochow University
11087	苏州大学应用技术学院	Applied Technology College of Soochow University
3291	苏州工学院	Suzhou University of Technology
3198	苏州科技大学	Suzhou University of Science and Technology
22923	苏州科技大学天平学院	Tianping College of Suzhou University of Science and Technology
14472	苏州市吴江区苏州湾外国语学校	Suzhou International Academy, BFSU
26057	宿迁学院	Suqian University
5308	宿州学院	Suzhou University
10081	塔里木大学	Tarim University
3200	台州学院	Taizhou University (Zhejiang)
3201	台州职业技术学院	Taizhou Vocational and Technical College
8440	太原科技大学	Taiyuan University of Science and Technology
3199	太原理工大学	Taiyuan University of Technology
7788	泰山学院	TaiShan University
14681	泰州学院	Taizhou University (Jiangsu)
26746	唐山师范学院	Tangshan Normal University
